PERIODO; Suma de CANTIDAD ;ACTUALIZACION
201301;235.788.005;201903
201302;223.677.731;201903
201303;287.940.419;201903
201304;299.450.749;201903
201305;311.406.156;201903
201306;289.256.661;201903
201307;299.602.710;201903
201308;323.168.139;201903
201309;310.032.214;201903
201310;351.090.191;201903
201311;331.119.747;201903
201312;305.739.349;201903
201401;254.314.707;201903
201402;253.899.964;201903
201403;291.851.813;201903
201404;307.065.856;201903
201405;329.597.575;201903
201406;318.398.529;201903
201407;312.867.143;201903
201408;321.966.965;201903
201409;342.429.377;201903
201410;348.553.873;201903
201411;319.022.956;201903
201412;313.565.507;201903
201501;264.429.793;201903
201502;262.279.285;201903
201503;324.561.391;201903
201504;349.507.877;201903
201505;341.112.163;201903
201506;340.837.351;201903
201507;343.201.815;201903
201508;343.240.373;201903
201509;360.939.863;201903
201510;366.565.724;201903
201511;348.260.470;201903
201512;323.056.614;201903
201601;278.606.997;201903
201602;281.922.956;201903
201603;362.287.982;201903
201604;342.479.472;201903
201605;348.492.316;201903
201606;334.192.243;201903
201607;318.909.890;201903
201608;356.122.911;201903
201609;348.372.689;201903
201610;344.542.994;201903
201611;348.643.236;201903
201612;324.129.244;201903
201701;280.917.421;201903
201702;261.366.849;201903
201703;355.162.405;201903
201704;320.959.764;201903
201705;352.245.367;201903
201706;341.334.439;201903
201707;335.148.258;201903
201708;366.429.486;201903
201709;358.069.488;201903
201710;368.229.504;201903
201711;362.902.167;201903
201712;325.335.368;201903
201801;289.852.809;201907
201802;272.180.882;201907
201803;358.845.173;201907
201804;339.846.085;201907
201805;361.835.903;201907
201806;332.863.603;201907
201807;325.335.016;201907
201808;363.418.948;201907
201809;330.221.189;201907
201810;367.563.360;201907
201811;337.752.997;201907
201812;308.705.927;201907
201901;271.247.984;201911
201902;267.154.038;201911
201903;320.267.320;201911
201904;315.773.658;201911
201905;333.146.904;201911
201906;303.007.842;201911
201907;321.095.594;201911
201908;341.369.094;201911
201909;337.753.074;201911
201910;348.035.381;201911
